,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,28,38.0,69,464,158,34.1,12.21,4.16,0.14,0.41,16.2,11,4,5,57.1,53.1,0.12,+11.9,+11.9
Bournemouth,28,38.0,55,434,152,35.0,11.42,4.00,0.11,0.32,16.2,14,7,9,53.3,46.4,0.11,+1.7,+1.6
Brighton,21,38.0,35,369,99,26.8,9.71,2.61,0.08,0.30,16.7,11,5,6,34.4,29.9,0.08,+0.6,+0.1
Burnley,23,38.0,43,360,114,31.7,9.47,3.00,0.11,0.36,15.0,15,2,2,41.9,40.4,0.12,+1.1,+0.6
Cardiff City,25,38.0,33,409,113,27.6,10.76,2.97,0.07,0.27,16.8,13,3,4,39.8,36.7,0.09,-6.8,-6.7
Chelsea,24,38.0,61,597,189,31.7,15.71,4.97,0.09,0.30,17.2,30,5,5,58.5,54.7,0.09,+2.5,+1.3
Crystal Palace,26,38.0,48,489,137,28.0,12.87,3.61,0.08,0.28,16.8,16,10,11,50.1,42.2,0.09,-2.1,-4.2
Everton,23,38.0,53,494,159,32.2,13.00,4.18,0.10,0.32,16.2,20,2,5,46.5,42.6,0.09,+6.5,+8.4
Fulham,28,38.0,33,438,138,31.5,11.53,3.63,0.07,0.22,18.2,10,2,3,39.7,37.4,0.09,-6.7,-6.4
Huddersfield,31,38.0,20,400,118,29.5,10.53,3.11,0.05,0.16,18.1,15,1,1,28.9,28.1,0.07,-8.9,-9.1
Leicester City,25,38.0,48,508,174,34.3,13.37,4.58,0.08,0.25,17.7,18,5,7,49.4,44.3,0.09,-1.4,-1.3
Liverpool,23,38.0,86,568,210,37.0,14.95,5.53,0.14,0.38,16.1,20,7,7,73.6,68.3,0.12,+12.4,+10.7
Manchester City,21,38.0,91,680,247,36.3,17.89,6.50,0.13,0.36,16.2,20,3,4,82.0,79.0,0.12,+9.0,+9.0
Manchester Utd,28,38.0,65,518,212,40.9,13.63,5.58,0.11,0.26,17.8,28,9,12,59.6,50.4,0.10,+5.4,+5.6
Newcastle Utd,24,38.0,41,433,136,31.4,11.39,3.58,0.09,0.29,18.1,17,1,3,38.8,36.5,0.09,+2.2,+3.5
Southampton,30,38.0,44,483,152,31.5,12.71,4.00,0.08,0.26,18.0,19,4,5,45.4,41.7,0.09,-1.4,-1.7
Tottenham,28,38.0,66,533,186,34.9,14.03,4.89,0.12,0.33,17.1,23,4,4,55.6,52.6,0.10,+10.4,+9.4
Watford,25,38.0,51,434,150,34.6,11.42,3.95,0.12,0.33,16.6,22,1,1,48.0,47.2,0.11,+3.0,+2.8
West Ham,26,38.0,51,437,149,34.1,11.50,3.92,0.11,0.31,16.4,17,5,5,49.1,45.4,0.11,+1.9,+0.6
Wolves,21,38.0,46,470,144,30.6,12.37,3.79,0.09,0.29,17.0,12,4,4,49.9,46.9,0.10,-3.9,-4.9
